property,classifier,accuracy,precision,recall,f1
15,Perceptron,0.5932347235693501,0.8686481303930969,0.21968962172647916,0.3506870524482291
15,SGD,0.6838021338506305,0.8093877551020409,0.4808438409311348,0.6032856708244599
15,Bagging,0.8176527643064986,0.8171912832929782,0.8183802133850631,0.8177853162103222
15,Extra Trees,0.800921435499515,0.793519394512772,0.8135305528612997,0.8034003831417624
15,CatBoost,0.832807953443259,0.8289000718907261,0.838748787584869,0.8337953477160419
15,LightGBM,0.8235935984481086,0.8184204247196373,0.8317167798254123,0.82501503307276
15,XGBoost,0.8277158098933075,0.8268440145102781,0.8290494665373423,0.8279452718246761
16,SVM,0.7904946653734238,0.7838862559241706,0.8021338506304558,0.7929050814956855
16,Random Forest,0.8141367604267701,0.8201136644427971,0.8048011639185257,0.812385264961449
16,Logistic Regression,0.7567895247332687,0.750354609929078,0.7696411251212415,0.759875508738329
16,Naive Bayes,0.6356692531522793,0.6326772587147261,0.646944713870029,0.6397314470686968
16,K-NN,0.6387002909796314,0.619916142557652,0.7170223084384093,0.6649426579716663
16,Gradient Boosting,0.8243210475266731,0.8386933400860977,0.8031037827352085,0.8205128205128205
16,AdaBoost,0.8061348205625606,0.8119594761551767,0.7967992240543162,0.8043079182474605
16,Decision Tree,0.7434529582929195,0.7384798099762471,0.7538797284190106,0.746100311975042
16,Perceptron,0.5972356935014549,0.907520325203252,0.21653734238603298,0.3496476115896633
16,SGD,0.7291464597478177,0.7373179306880965,0.7119301648884578,0.7244016777695534
16,Bagging,0.8325654704170709,0.8635038430956798,0.7900096993210475,0.8251234646068127
16,Extra Trees,0.7989815712900097,0.8058035714285714,0.787827352085354,0.7967140755272192
16,CatBoost,0.8688166828322017,0.8796804792810784,0.8545101842870999,0.8669126691266913
16,LightGBM,0.8574199806013579,0.8697942799799298,0.8406886517943744,0.8549938347718865
16,XGBoost,0.8614209505334627,0.8693928128872367,0.8506304558680893,0.859909302610614
17,SVM,0.6844083414161009,0.6808561236623067,0.6942289039767217,0.6874774882939129
17,Random Forest,0.7946168768186227,0.7899761336515513,0.8026188166828322,0.7962472937214338
17,Logistic Regression,0.6171193016488846,0.6152744630071599,0.6251212415130941,0.6201587683425547
17,Naive Bayes,0.587172647914646,0.5797294300288313,0.6338506304558681,0.6055832271516275
17,K-NN,0.5754122211445198,0.5920663114268798,0.48496605237633367,0.5331911490269261
17,Gradient Boosting,0.8092870999030067,0.8210420337276617,0.7909796314258002,0.8057305174756082
